NET,MSE_MIN,MSE_MAX,MSE_PROM
1,0.40142723850655226,0.5275365666423718,0.469826413925193
2,0.36460616602020424,0.4436797817497229,0.40479062764287044
3,0.441921333812396,0.5608972831989453,0.4995484979619145
4,0.36918451961737214,0.4899820389989128,0.4329640450242922
5,0.40471234455044847,0.5438621692751997,0.4730971117107546
6,0.41596431501160336,0.5017383207663749,0.4650178779018179
7,0.42613378826051285,0.5123290988759237,0.47157697694898687
8,0.29663064159626235,0.36647875722173284,0.32121406357416893
9,0.3892082299792342,0.4675469216637851,0.4206919323954609
10,0.3161233782934296,0.4079942098966821,0.3582300538155664
11,0.3954858435173452,0.5455523438899696,0.47031476487102053
12,0.388155898300087,0.44430502185774723,0.4087806716890395
13,0.48347854186792394,0.6904622564679983,0.589016582833483
14,0.41087845049835897,0.4659703677725995,0.4302951689118709
15,0.3601297637479816,0.420094442949574,0.3814531789964881
16,0.33374268359128517,0.35170603721154026,0.3396702913275587
17,0.3636937549333951,0.4542967804736835,0.3996676221523206
18,0.4354926350186302,0.530347337388209,0.4745252797973777
19,0.3934630984847617,0.45628966801195153,0.4259200880989805
20,0.45533199601190044,0.45533199601190044,0.45533199601190044
